Date Administered,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup
10/06/2022 12:00:00 AM,50 - 64 Years,9.662871817036901,94.5,82.7
10/06/2022 12:00:00 AM,65+ Years,12.524581910024427,95,92.8
10/05/2022 12:00:00 AM,<2 Years,6.756014912277388,5.1,1.7
10/05/2022 12:00:00 AM,2 - 4 Years,6.712981203865796,7.9,3.1
10/05/2022 12:00:00 AM,5 - 11 Years,4.336020561234735,38.6,31.5
10/05/2022 12:00:00 AM,12 - 17 Years,5.85844936730203,71.1,60.8
10/05/2022 12:00:00 AM,18 - 24 Years,9.015553126804758,80.5,65.5
10/05/2022 12:00:00 AM,25 - 49 Years,10.529107395826626,83.9,71
10/05/2022 12:00:00 AM,50 - 64 Years,10.416141292612599,94.5,82.7
10/05/2022 12:00:00 AM,65+ Years,13.617846782408506,95,92.8
10/04/2022 12:00:00 AM,<2 Years,7.184535748143196,5.1,1.6
10/04/2022 12:00:00 AM,2 - 4 Years,6.634820004350026,7.9,3
10/04/2022 12:00:00 AM,5 - 11 Years,4.079394836565873,38.6,31.5
10/04/2022 12:00:00 AM,12 - 17 Years,5.571779947048046,71.1,60.8
10/04/2022 12:00:00 AM,18 - 24 Years,8.043607385694665,80.5,65.5
10/04/2022 12:00:00 AM,25 - 49 Years,9.546277827860198,83.9,71
10/04/2022 12:00:00 AM,50 - 64 Years,10.239969769693149,94.5,82.7
10/04/2022 12:00:00 AM,65+ Years,13.884754570928669,95,92.7
10/03/2022 12:00:00 AM,<2 Years,7.785208018070699,5.1,1.6
10/03/2022 12:00:00 AM,2 - 4 Years,7.235240127902988,7.9,3
10/03/2022 12:00:00 AM,5 - 11 Years,4.410848805805498,38.6,31.5
10/03/2022 12:00:00 AM,12 - 17 Years,6.078876451401706,71.1,60.8
10/03/2022 12:00:00 AM,18 - 24 Years,8.74042062615978,80.5,65.5
10/03/2022 12:00:00 AM,25 - 49 Years,10.287699056453985,83.9,71
10/03/2022 12:00:00 AM,50 - 64 Years,10.97712045902235,94.5,82.7
10/03/2022 12:00:00 AM,65+ Years,14.742823471250427,95,92.7
10/02/2022 12:00:00 AM,<2 Years,8.50477624245808,5,1.6
10/02/2022 12:00:00 AM,2 - 4 Years,8.009746559468343,7.8,3
10/02/2022 12:00:00 AM,5 - 11 Years,4.928620081996489,38.6,31.5
10/02/2022 12:00:00 AM,12 - 17 Years,6.711604972599743,71.1,60.8
10/02/2022 12:00:00 AM,18 - 24 Years,9.59323683090813,80.4,65.4
10/02/2022 12:00:00 AM,25 - 49 Years,11.155314014232156,83.9,71
10/02/2022 12:00:00 AM,50 - 64 Years,11.810983865830531,94.5,82.7
10/02/2022 12:00:00 AM,65+ Years,15.688099866831248,95,92.7
10/01/2022 12:00:00 AM,<2 Years,8.721513659442232,5,1.6
10/01/2022 12:00:00 AM,2 - 4 Years,8.267323239690768,7.8,3
10/01/2022 12:00:00 AM,5 - 11 Years,5.118452809833729,38.6,31.5
10/01/2022 12:00:00 AM,12 - 17 Years,6.919468855014982,71.1,60.8
10/01/2022 12:00:00 AM,18 - 24 Years,9.819204760991122,80.4,65.4
10/01/2022 12:00:00 AM,25 - 49 Years,11.451882505669671,83.9,71
10/01/2022 12:00:00 AM,50 - 64 Years,12.08750050876338,94.5,82.7
10/01/2022 12:00:00 AM,65+ Years,16.00918200846689,95,92.7
09/30/2022 12:00:00 AM,<2 Years,8.925866081170144,5,1.6
09/30/2022 12:00:00 AM,2 - 4 Years,8.47693736566488,7.8,2.9
09/30/2022 12:00:00 AM,5 - 11 Years,5.346452964431896,38.6,31.5
09/30/2022 12:00:00 AM,12 - 17 Years,7.178727653412012,71.1,60.8
09/30/2022 12:00:00 AM,18 - 24 Years,10.049900053628145,80.4,65.4
09/30/2022 12:00:00 AM,25 - 49 Years,11.770938349267924,83.9,71
09/30/2022 12:00:00 AM,50 - 64 Years,12.41600591297014,94.5,82.7
09/30/2022 12:00:00 AM,65+ Years,16.37651054910355,95,92.7
09/29/2022 12:00:00 AM,<2 Years,8.941966575003253,5,1.5
09/29/2022 12:00:00 AM,2 - 4 Years,8.59950833763279,7.8,2.9
09/29/2022 12:00:00 AM,5 - 11 Years,5.505651310263656,38.6,31.5
09/29/2022 12:00:00 AM,12 - 17 Years,7.531068355198284,71.1,60.8
09/29/2022 12:00:00 AM,18 - 24 Years,10.27303156617871,80.4,65.4
09/29/2022 12:00:00 AM,25 - 49 Years,11.955070079901743,83.9,70.9
09/29/2022 12:00:00 AM,50 - 64 Years,12.518621284567555,94.4,82.6
09/29/2022 12:00:00 AM,65+ Years,16.335285187708358,95,92.6
09/28/2022 12:00:00 AM,<2 Years,9.204528474435481,4.9,1.5
09/28/2022 12:00:00 AM,2 - 4 Years,8.968997644434612,7.7,2.8
09/28/2022 12:00:00 AM,5 - 11 Years,5.929510628503418,38.5,31.5
09/28/2022 12:00:00 AM,12 - 17 Years,8.180928515056916,71,60.8
09/28/2022 12:00:00 AM,18 - 24 Years,10.828023930022704,80.4,65.4
09/28/2022 12:00:00 AM,25 - 49 Years,12.429288653409099,83.9,70.9
09/28/2022 12:00:00 AM,50 - 64 Years,12.981525582547919,94.4,82.6
09/28/2022 12:00:00 AM,65+ Years,16.68860767607614,95,92.6
09/27/2022 12:00:00 AM,<2 Years,9.216913469691718,4.9,1.5
09/27/2022 12:00:00 AM,2 - 4 Years,8.919258699288214,7.7,2.8
09/27/2022 12:00:00 AM,5 - 11 Years,6.032964443144877,38.5,31.5
09/27/2022 12:00:00 AM,12 - 17 Years,8.387650288228114,71,60.8
09/27/2022 12:00:00 AM,18 - 24 Years,10.842206017684816,80.4,65.4
09/27/2022 12:00:00 AM,25 - 49 Years,12.51156590660898,83.8,70.9
09/27/2022 12:00:00 AM,50 - 64 Years,13.135221614785637,94.4,82.6
09/27/2022 12:00:00 AM,65+ Years,16.94811604075614,95,92.6
09/26/2022 12:00:00 AM,<2 Years,9.358102415612821,4.9,1.4
09/26/2022 12:00:00 AM,2 - 4 Years,9.226574324657037,7.7,2.7
09/26/2022 12:00:00 AM,5 - 11 Years,6.48193391056946,38.5,31.5
09/26/2022 12:00:00 AM,12 - 17 Years,9.02494724640231,71,60.8
09/26/2022 12:00:00 AM,18 - 24 Years,11.06628300274619,80.4,65.4
09/26/2022 12:00:00 AM,25 - 49 Years,12.79662616488188,83.8,70.9
09/26/2022 12:00:00 AM,50 - 64 Years,13.393803270204781,94.4,82.6
09/26/2022 12:00:00 AM,65+ Years,17.26417714478596,95,92.6
09/25/2022 12:00:00 AM,<2 Years,9.613233317891309,4.8,1.4
09/25/2022 12:00:00 AM,2 - 4 Years,9.6777776127708,7.6,2.7
09/25/2022 12:00:00 AM,5 - 11 Years,7.030339568765931,38.5,31.5
09/25/2022 12:00:00 AM,12 - 17 Years,9.854118557575188,71,60.8
09/25/2022 12:00:00 AM,18 - 24 Years,11.297923767894023,80.3,65.4
09/25/2022 12:00:00 AM,25 - 49 Years,13.17044532491864,83.8,70.9
09/25/2022 12:00:00 AM,50 - 64 Years,13.6984710327794,94.4,82.6
09/25/2022 12:00:00 AM,65+ Years,17.64921144961158,95,92.5
09/24/2022 12:00:00 AM,<2 Years,9.572362833545725,4.8,1.4
09/24/2022 12:00:00 AM,2 - 4 Years,9.697317912649742,7.6,2.7
09/24/2022 12:00:00 AM,5 - 11 Years,7.150366081869371,38.5,31.5
09/24/2022 12:00:00 AM,12 - 17 Years,10.200177658519237,71,60.8
09/24/2022 12:00:00 AM,18 - 24 Years,11.299341976660234,80.3,65.4
09/24/2022 12:00:00 AM,25 - 49 Years,13.201266225233065,83.8,70.9
09/24/2022 12:00:00 AM,50 - 64 Years,13.725487026629162,94.4,82.6
09/24/2022 12:00:00 AM,65+ Years,17.68198032661802,95,92.5
09/23/2022 12:00:00 AM,<2 Years,9.743275768081798,4.8,1.4
09/23/2022 12:00:00 AM,2 - 4 Years,9.965552938260682,7.6,2.6
09/23/2022 12:00:00 AM,5 - 11 Years,7.401467573717572,38.5,31.4
09/23/2022 12:00:00 AM,12 - 17 Years,10.543381486353192,71,60.8
09/23/2022 12:00:00 AM,18 - 24 Years,11.59716581756459,80.3,65.4
09/23/2022 12:00:00 AM,25 - 49 Years,13.340423251545404,83.8,70.9
09/23/2022 12:00:00 AM,50 - 64 Years,13.827648347909772,94.4,82.6
09/23/2022 12:00:00 AM,65+ Years,17.812791569506615,95,92.5
09/22/2022 12:00:00 AM,<2 Years,9.978590677950306,4.8,1.4
09/22/2022 12:00:00 AM,2 - 4 Years,10.232011572973535,7.6,2.5
09/22/2022 12:00:00 AM,5 - 11 Years,7.79117708906598,38.5,31.4
09/22/2022 12:00:00 AM,12 - 17 Years,11.00193834783516,71,60.7
09/22/2022 12:00:00 AM,18 - 24 Years,12.021210238661748,80.3,65.4
09/22/2022 12:00:00 AM,25 - 49 Years,13.596249952009344,83.8,70.9
09/22/2022 12:00:00 AM,50 - 64 Years,14.03174396531259,94.3,82.6
09/22/2022 12:00:00 AM,65+ Years,18.06357918466071,95,92.5
09/21/2022 12:00:00 AM,<2 Years,10.227529082600672,4.8,1.3
09/21/2022 12:00:00 AM,2 - 4 Years,10.528668852953844,7.5,2.5
09/21/2022 12:00:00 AM,5 - 11 Years,8.190428461104618,38.5,31.4
09/21/2022 12:00:00 AM,12 - 17 Years,11.423947713507857,71,60.7
09/21/2022 12:00:00 AM,18 - 24 Years,12.391362726642878,80.3,65.4
09/21/2022 12:00:00 AM,25 - 49 Years,13.808821569199392,83.7,70.8
09/21/2022 12:00:00 AM,50 - 64 Years,14.14253224261245,94.3,82.6
09/21/2022 12:00:00 AM,65+ Years,18.264156423756557,95,92.5
09/20/2022 12:00:00 AM,<2 Years,10.548300459737217,4.7,1.3
09/20/2022 12:00:00 AM,2 - 4 Years,10.931909586819293,7.5,2.4
09/20/2022 12:00:00 AM,5 - 11 Years,8.458604854398498,38.5,31.4
09/20/2022 12:00:00 AM,12 - 17 Years,11.757443612767473,71,60.7
09/20/2022 12:00:00 AM,18 - 24 Years,12.858426146981774,80.3,65.3
09/20/2022 12:00:00 AM,25 - 49 Years,14.015308373451829,83.7,70.8
09/20/2022 12:00:00 AM,50 - 64 Years,14.252185394120305,94.3,82.5
09/20/2022 12:00:00 AM,65+ Years,18.35823481258149,95,92.4
09/19/2022 12:00:00 AM,<2 Years,10.885172330706867,4.7,1.3
09/19/2022 12:00:00 AM,2 - 4 Years,11.276529421047915,7.4,2.4
09/19/2022 12:00:00 AM,5 - 11 Years,8.742349540186964,38.5,31.4
09/19/2022 12:00:00 AM,12 - 17 Years,12.238842659130238,71,60.7
09/19/2022 12:00:00 AM,18 - 24 Years,13.456910246322911,80.3,65.3
09/19/2022 12:00:00 AM,25 - 49 Years,14.31108319363661,83.7,70.8
09/19/2022 12:00:00 AM,50 - 64 Years,14.531880389270777,94.3,82.5
09/19/2022 12:00:00 AM,65+ Years,18.67403165147416,95,92.4
09/18/2022 12:00:00 AM,<2 Years,11.017691779948606,4.6,1.2
09/18/2022 12:00:00 AM,2 - 4 Years,11.331597538888573,7.4,2.3
09/18/2022 12:00:00 AM,5 - 11 Years,9.07079029152441,38.4,31.4
09/18/2022 12:00:00 AM,12 - 17 Years,12.550067428131076,71,60.7
09/18/2022 12:00:00 AM,18 - 24 Years,13.873863623589013,80.2,65.3
09/18/2022 12:00:00 AM,25 - 49 Years,14.351031313357453,83.7,70.8
09/18/2022 12:00:00 AM,50 - 64 Years,14.52597773515234,94.3,82.5
09/18/2022 12:00:00 AM,65+ Years,18.51758669028214,95,92.4
09/17/2022 12:00:00 AM,<2 Years,11.203466708792163,4.6,1.2
09/17/2022 12:00:00 AM,2 - 4 Years,11.523447755881827,7.4,2.3
09/17/2022 12:00:00 AM,5 - 11 Years,9.167213264394121,38.4,31.4
09/17/2022 12:00:00 AM,12 - 17 Years,12.666562571023134,71,60.7
09/17/2022 12:00:00 AM,18 - 24 Years,14.149941596744798,80.2,65.3
09/17/2022 12:00:00 AM,25 - 49 Years,14.462409845824174,83.7,70.8
09/17/2022 12:00:00 AM,50 - 64 Years,14.62314450294812,94.3,82.5
09/17/2022 12:00:00 AM,65+ Years,18.53793510584259,95,92.4
09/16/2022 12:00:00 AM,<2 Years,11.388003138110099,4.6,1.2
09/16/2022 12:00:00 AM,2 - 4 Years,11.75615496353105,7.4,2.3
09/16/2022 12:00:00 AM,5 - 11 Years,9.306825693861722,38.4,31.4
09/16/2022 12:00:00 AM,12 - 17 Years,12.882992272768671,71,60.7
09/16/2022 12:00:00 AM,18 - 24 Years,14.475184140462574,80.2,65.3
09/16/2022 12:00:00 AM,25 - 49 Years,14.658843480875339,83.7,70.8
09/16/2022 12:00:00 AM,50 - 64 Years,14.73052740287196,94.3,82.5
09/16/2022 12:00:00 AM,65+ Years,18.657911478108087,95,92.4
09/15/2022 12:00:00 AM,<2 Years,11.722398010028503,4.6,1.2
09/15/2022 12:00:00 AM,2 - 4 Years,11.905371798970247,7.3,2.2
09/15/2022 12:00:00 AM,5 - 11 Years,9.425847800997769,38.4,31.3
09/15/2022 12:00:00 AM,12 - 17 Years,13.038319129958081,70.9,60.7
09/15/2022 12:00:00 AM,18 - 24 Years,14.835409167080226,80.2,65.3
09/15/2022 12:00:00 AM,25 - 49 Years,14.946284752906436,83.7,70.8
09/15/2022 12:00:00 AM,50 - 64 Years,14.894439567237741,94.3,82.5
09/15/2022 12:00:00 AM,65+ Years,18.737455284389835,95,92.3
09/14/2022 12:00:00 AM,<2 Years,12.238852312213593,4.5,1.2
09/14/2022 12:00:00 AM,2 - 4 Years,12.16294847919267,7.3,2.2
09/14/2022 12:00:00 AM,5 - 11 Years,9.488120970976123,38.4,31.3
09/14/2022 12:00:00 AM,12 - 17 Years,13.358109718289217,70.9,60.7
09/14/2022 12:00:00 AM,18 - 24 Years,15.616369461007208,80.2,65.3
09/14/2022 12:00:00 AM,25 - 49 Years,15.452779290691558,83.6,70.8
09/14/2022 12:00:00 AM,50 - 64 Years,15.333733248744364,94.2,82.5
09/14/2022 12:00:00 AM,65+ Years,19.15050169375322,95,92.3
09/13/2022 12:00:00 AM,<2 Years,12.762737611552424,4.5,1.1
09/13/2022 12:00:00 AM,2 - 4 Years,12.624810112694949,7.2,2.1
09/13/2022 12:00:00 AM,5 - 11 Years,9.878834892291923,38.4,31.3
09/13/2022 12:00:00 AM,12 - 17 Years,14.082206979010435,70.9,60.7
09/13/2022 12:00:00 AM,18 - 24 Years,16.413402787617915,80.2,65.3
09/13/2022 12:00:00 AM,25 - 49 Years,16.065625776342763,83.6,70.8
09/13/2022 12:00:00 AM,50 - 64 Years,15.85748028917629,94.2,82.5
09/13/2022 12:00:00 AM,65+ Years,19.777338599069886,95,92.3
09/12/2022 12:00:00 AM,<2 Years,13.274237915635021,4.5,1.1
09/12/2022 12:00:00 AM,2 - 4 Years,13.129305127751284,7.2,2.1
09/12/2022 12:00:00 AM,5 - 11 Years,10.484491690629783,38.4,31.3
09/12/2022 12:00:00 AM,12 - 17 Years,15.02216288685517,70.9,60.7
09/12/2022 12:00:00 AM,18 - 24 Years,17.42884026422515,80.2,65.3
09/12/2022 12:00:00 AM,25 - 49 Years,16.9612837850508,83.6,70.8
09/12/2022 12:00:00 AM,50 - 64 Years,16.537874688905152,94.2,82.5
09/12/2022 12:00:00 AM,65+ Years,20.344715848528097,95,92.3
09/11/2022 12:00:00 AM,<2 Years,12.668611647605022,4.4,1.1
09/11/2022 12:00:00 AM,2 - 4 Years,12.31216531463187,7.1,2
09/11/2022 12:00:00 AM,5 - 11 Years,9.547380923052298,38.4,31.3
09/11/2022 12:00:00 AM,12 - 17 Years,13.832656109187743,70.9,60.7
09/11/2022 12:00:00 AM,18 - 24 Years,16.327364789134435,80.1,65.3
09/11/2022 12:00:00 AM,25 - 49 Years,15.758871837161854,83.6,70.7
09/11/2022 12:00:00 AM,50 - 64 Years,15.314209085121847,94.2,82.5
09/11/2022 12:00:00 AM,65+ Years,19.14627345155884,95,92.3
09/10/2022 12:00:00 AM,<2 Years,13.064931495804613,4.4,1.1
09/10/2022 12:00:00 AM,2 - 4 Years,12.633692067185379,7.1,2
09/10/2022 12:00:00 AM,5 - 11 Years,9.856737961009282,38.4,31.3
09/10/2022 12:00:00 AM,12 - 17 Years,14.263231294190737,70.9,60.7
09/10/2022 12:00:00 AM,18 - 24 Years,16.767482242915317,80.1,65.2
09/10/2022 12:00:00 AM,25 - 49 Years,16.08308654390287,83.6,70.7
09/10/2022 12:00:00 AM,50 - 64 Years,15.641806388695002,94.2,82.5
09/10/2022 12:00:00 AM,65+ Years,19.61005876725477,95,92.2
09/09/2022 12:00:00 AM,<2 Years,13.327493395236841,4.4,1.1
09/09/2022 12:00:00 AM,2 - 4 Years,12.877057620223118,7.1,1.9
09/09/2022 12:00:00 AM,5 - 11 Years,10.072183041015037,38.4,31.3
09/09/2022 12:00:00 AM,12 - 17 Years,14.595585084206315,70.9,60.7
09/09/2022 12:00:00 AM,18 - 24 Years,17.025596238365758,80.1,65.2
09/09/2022 12:00:00 AM,25 - 49 Years,16.249757506976582,83.6,70.7
09/09/2022 12:00:00 AM,50 - 64 Years,15.836593974603364,94.2,82.4
09/09/2022 12:00:00 AM,65+ Years,19.819356755876523,95,92.2
09/08/2022 12:00:00 AM,<2 Years,13.64950327189901,4.4,1
09/08/2022 12:00:00 AM,2 - 4 Years,13.36556511719668,7.1,1.9
09/08/2022 12:00:00 AM,5 - 11 Years,10.711989642244252,38.3,31.2
09/08/2022 12:00:00 AM,12 - 17 Years,15.519551462634492,70.9,60.7
09/08/2022 12:00:00 AM,18 - 24 Years,17.494550603726275,80.1,65.2
09/08/2022 12:00:00 AM,25 - 49 Years,16.510743070583278,83.6,70.7
09/08/2022 12:00:00 AM,50 - 64 Years,16.0938134790721,94.2,82.4
09/08/2022 12:00:00 AM,65+ Years,20.12960402688907,95,92.2
09/07/2022 12:00:00 AM,<2 Years,15.17533468746743,4.3,1
09/07/2022 12:00:00 AM,2 - 4 Years,15.47769389502056,7,1.8
09/07/2022 12:00:00 AM,5 - 11 Years,12.290915822985742,38.3,31.2
09/07/2022 12:00:00 AM,12 - 17 Years,17.135064988328757,70.9,60.6
09/07/2022 12:00:00 AM,18 - 24 Years,18.998797368420977,80.1,65.2
09/07/2022 12:00:00 AM,25 - 49 Years,17.905620297259723,83.5,70.7
09/07/2022 12:00:00 AM,50 - 64 Years,17.036875987071333,94.2,82.4
09/07/2022 12:00:00 AM,65+ Years,20.66949770208382,95,92.2
09/06/2022 12:00:00 AM,<2 Years,15.762383462613073,4.3,1
09/06/2022 12:00:00 AM,2 - 4 Years,16.392535207534685,7,1.8
09/06/2022 12:00:00 AM,5 - 11 Years,13.19136577275339,38.3,31.2
09/06/2022 12:00:00 AM,12 - 17 Years,18.046468165072497,70.9,60.6
09/06/2022 12:00:00 AM,18 - 24 Years,20.129109755091324,80.1,65.2
09/06/2022 12:00:00 AM,25 - 49 Years,19.064909440416898,83.5,70.7
09/06/2022 12:00:00 AM,50 - 64 Years,18.073926910648726,94.2,82.4
09/06/2022 12:00:00 AM,65+ Years,20.96045361808451,95,92.2
09/05/2022 12:00:00 AM,<2 Years,16.228059284247593,4.2,1
09/05/2022 12:00:00 AM,2 - 4 Years,16.93255804055273,6.9,1.8
09/05/2022 12:00:00 AM,5 - 11 Years,13.83217677995,38.3,31.2
09/05/2022 12:00:00 AM,12 - 17 Years,18.711175745103645,70.9,60.6
09/05/2022 12:00:00 AM,18 - 24 Years,20.620755460711216,80.1,65.2
09/05/2022 12:00:00 AM,25 - 49 Years,19.32748234652906,83.5,70.7
09/05/2022 12:00:00 AM,50 - 64 Years,18.571112007547697,94.2,82.4
09/05/2022 12:00:00 AM,65+ Years,21.41128994206016,95,92.2
09/04/2022 12:00:00 AM,<2 Years,17.7427442040854,4.2,1
09/04/2022 12:00:00 AM,2 - 4 Years,19.050015991070865,6.9,1.8
09/04/2022 12:00:00 AM,5 - 11 Years,16.30100664780151,38.3,31.2
09/04/2022 12:00:00 AM,12 - 17 Years,21.687512435071305,70.9,60.6
09/04/2022 12:00:00 AM,18 - 24 Years,22.95843624368272,80.1,65.2
09/04/2022 12:00:00 AM,25 - 49 Years,21.68997710882791,83.5,70.7
09/04/2022 12:00:00 AM,50 - 64 Years,20.647484106286495,94.2,82.4
09/04/2022 12:00:00 AM,65+ Years,23.242647342500497,95,92.2
09/03/2022 12:00:00 AM,<2 Years,17.834393168981553,4.2,1
09/03/2022 12:00:00 AM,2 - 4 Years,19.266735680637314,6.9,1.8
09/03/2022 12:00:00 AM,5 - 11 Years,16.607350467856318,38.3,31.2
09/03/2022 12:00:00 AM,12 - 17 Years,21.86967885949565,70.9,60.6
09/03/2022 12:00:00 AM,18 - 24 Years,23.078038516299866,80.1,65.2
09/03/2022 12:00:00 AM,25 - 49 Years,21.893289228069417,83.5,70.7
09/03/2022 12:00:00 AM,50 - 64 Years,20.706283622312444,94.2,82.4
09/03/2022 12:00:00 AM,65+ Years,23.11421448584624,95,92.2
09/02/2022 12:00:00 AM,<2 Years,18.312453985872313,4.2,1
09/02/2022 12:00:00 AM,2 - 4 Years,19.77655986838791,6.9,1.8
09/02/2022 12:00:00 AM,5 - 11 Years,17.305412615194314,38.3,31.2
09/02/2022 12:00:00 AM,12 - 17 Years,22.48127835967895,70.9,60.6
09/02/2022 12:00:00 AM,18 - 24 Years,23.59899386975479,80.1,65.2
09/02/2022 12:00:00 AM,25 - 49 Years,22.447271762476333,83.5,70.7
09/02/2022 12:00:00 AM,50 - 64 Years,21.119696435761313,94.1,82.4
09/02/2022 12:00:00 AM,65+ Years,23.44983121002506,95,92.2
09/01/2022 12:00:00 AM,<2 Years,18.697627338341285,4.2,0.9
09/01/2022 12:00:00 AM,2 - 4 Years,20.64521501755181,6.8,1.7
09/01/2022 12:00:00 AM,5 - 11 Years,18.09035587871179,38.3,31.2
09/01/2022 12:00:00 AM,12 - 17 Years,22.862171792566212,70.9,60.6
09/01/2022 12:00:00 AM,18 - 24 Years,23.83441652494585,80.1,65.2
09/01/2022 12:00:00 AM,25 - 49 Years,22.91910932222549,83.5,70.7
09/01/2022 12:00:00 AM,50 - 64 Years,21.524482293190932,94.1,82.4
09/01/2022 12:00:00 AM,65+ Years,23.68951968941891,95,92.2
08/31/2022 12:00:00 AM,<2 Years,17.776183691277243,4.1,0.9
08/31/2022 12:00:00 AM,2 - 4 Years,19.995055948852446,6.8,1.7
08/31/2022 12:00:00 AM,5 - 11 Years,17.896003324021283,38.2,31.1
08/31/2022 12:00:00 AM,12 - 17 Years,22.357930561322654,70.8,60.6
08/31/2022 12:00:00 AM,18 - 24 Years,22.76886900526582,80,65.2
08/31/2022 12:00:00 AM,25 - 49 Years,22.212874185836153,83.5,70.7
08/31/2022 12:00:00 AM,50 - 64 Years,21.079285957565872,94.1,82.4
08/31/2022 12:00:00 AM,65+ Years,23.558708446530314,95,92.2
08/30/2022 12:00:00 AM,<2 Years,17.992921108261392,4.1,0.9
08/30/2022 12:00:00 AM,2 - 4 Years,19.975515648973506,6.7,1.7
08/30/2022 12:00:00 AM,5 - 11 Years,18.407748164407916,38.2,31.1
08/30/2022 12:00:00 AM,12 - 17 Years,22.41332285965858,70.8,60.6
08/30/2022 12:00:00 AM,18 - 24 Years,22.23656798168121,80,65.2
08/30/2022 12:00:00 AM,25 - 49 Years,21.805323997558283,83.5,70.7
08/30/2022 12:00:00 AM,50 - 64 Years,20.619560011803124,94.1,82.4
08/30/2022 12:00:00 AM,65+ Years,23.668114213309867,95,92.2
08/29/2022 12:00:00 AM,<2 Years,18.380571459781613,4,0.9
08/29/2022 12:00:00 AM,2 - 4 Years,20.43915367337387,6.6,1.6
08/29/2022 12:00:00 AM,5 - 11 Years,18.804488521528075,38.2,31.1
08/29/2022 12:00:00 AM,12 - 17 Years,22.232869599100297,70.8,60.6
08/29/2022 12:00:00 AM,18 - 24 Years,21.977508513719954,80,65.2
08/29/2022 12:00:00 AM,25 - 49 Years,21.98191585129115,83.5,70.7
08/29/2022 12:00:00 AM,50 - 64 Years,20.529885074234592,94.1,82.4
08/29/2022 12:00:00 AM,65+ Years,23.67789202338437,95,92.2
08/28/2022 12:00:00 AM,<2 Years,18.732305325058753,4,0.9
08/28/2022 12:00:00 AM,2 - 4 Years,20.85127636172975,6.6,1.6
